8225:17,774,970,3506,1827,2696,2714,2403,3207,1524
8224:650,1276,3,1131,86,11293,22518,9349,40465,14767
20439:17,302,654,76,616,58,8,866,84,29
10999:1220,9657,18613,3188,11307,9569,54405,43533,19078,114009
8227:1276,3929,3006,2499,6700,8012,11677,83175,49006,60761
33547:17,302,654,76,616,58,8,866,84,29
20438:7082,30669,26165,40800,8563,7212,76265,96578,39684,52245
34227:62,190,45,4697,73,2185,7611,5808,69799,51361
33541:1460,1205,7048,760,2291,19458,32089,66245,24864,41506
22523:236,486,2030,1402,12773,29990,50601,67340,93636,66655
10991:385,802,805,22801,39619,23098,56217,89977,115265,87186
22521:17,302,654,76,616,58,8,866,84,29
5378:5315,25974,36752,58142,32280,20963,19929,47134,37455,20744
23653:1069,1693,7869,5176,98,4357,23723,18783,37426,108387
3279:650,1804,375,1231,3929,3474,3067,43718,77738,32678
2951:17,58,866,966,7800,9538,7682,6168,1879,90287
535:205,4542,3929,917,18062,13296,10575,43691,81226,123184
1821:1276,1220,4697,3929,4816,2293,28362,12536,1178,29979
1822:1069,205,1693,244,1021,18062,7546,7849,11307,97896
1820:17,4755,1352,1527,3107,189,23191,950,80274,111182
46650:17,302,654,76,616,58,8,866,84,29
539:45,1276,205,4181,375,5176,14026,14003,18537,36585
538:901,45,1276,966,4542,11,14955,22867,2126,42657
2959:1239,73,535,7869,2073,6491,3377,20642,22182,4452
1823:1276,86,12632,30301,11307,48673,63612,39167,64720,112996
536:205,86,3006,9210,7546,15487,29508,80125,35430,19205
8217:1069,205,3929,6395,13296,9319,7428,34379,30191,12497
14681:81,568,5767,3977,5693,1176,13896,4854,19872,100809
6093:238,901,1832,726,348,7468,5702,7146,31972,6273
14676:205,1220,2223,5176,15517,38824,15306,66376,106640,57517
22515:17,302,654,76,616,58,8,866,84,29
16008:17,302,654,76,616,58,8,866,84,84120
5361:15,1086,966,5237,10813,13704,13470,37878,34998,2065
3295:262,205,3190,14508,52680,36807,37592,52872,71998,111223
6883:1220,4374,13312,7325,81643,78085,25937,28506,62052,99262
20443:650,1276,1693,1220,4542,1131,5176,5702,12958,18108
20441:17,302,654,225,1957,6503,36541,87249,76196,61003
52031:496,441,6450,1955,7506,1388,2131,45745,11846,108243
33554:17,302,654,76,616,58,8,866,84,29
5364:1155,3613,240,42721,26996,7080,20670,25930,37821,9704
20440:17,302,4146,10692,4110,9314,10302,59009,46844,40659
33557:2121,1360,18704,23464,66812,119751,44903,17094,32731,8619
6881:650,1276,7869,4825,5176,5812,9885,53146,40044,29330
5358:17,302,654,76,616,58,8,226,327,2583
36242:17,302,654,76,616,58,8,866,84,29
